[2025-10-22T11:08:18.755+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-22T11:08:18.874+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2025-10-22T11:08:15.110434+00:00 [queued]>
[2025-10-22T11:08:18.918+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2025-10-22T11:08:15.110434+00:00 [queued]>
[2025-10-22T11:08:18.921+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-22T11:08:18.978+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): staging_table> on 2025-10-22 11:08:15.110434+00:00
[2025-10-22T11:08:18.997+0000] {standard_task_runner.py:63} INFO - Started process 387 to run task
[2025-10-22T11:08:19.024+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'staging_table', 'manual__2025-10-22T11:08:15.110434+00:00', '--job-id', '45', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpkt2ovwde']
[2025-10-22T11:08:19.027+0000] {standard_task_runner.py:91} INFO - Job 45: Subtask staging_table
[2025-10-22T11:08:19.307+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.staging_table manual__2025-10-22T11:08:15.110434+00:00 [running]> on host 2297e7c7f2c6
[2025-10-22T11:08:19.690+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='gidiboateng200@gmail.com' AIRFLOW_CTX_DAG_OWNER='dataengineers' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='staging_table' AIRFLOW_CTX_EXECUTION_DATE='2025-10-22T11:08:15.110434+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-22T11:08:15.110434+00:00'
[2025-10-22T11:08:19.703+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-22T11:08:19.752+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2025-10-22T11:08:19.772+0000] {data_loading.py:12} INFO - Processing file: YT_data_2025-10-22
[2025-10-22T11:08:19.813+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2025-10-22T11:08:19.829+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2025-10-22T11:08:19.885+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: yWEUL3crU_E
[2025-10-22T11:08:19.903+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: JgJrQnDIRgg
[2025-10-22T11:08:19.919+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: gtkqnhN0VkU
[2025-10-22T11:08:19.946+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: oBXSvS2QKxU
[2025-10-22T11:08:19.962+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: UTdcX1e0cMA
[2025-10-22T11:08:19.981+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: oiZvK6MY7tI
[2025-10-22T11:08:19.986+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: F0OkwXKcPSE
[2025-10-22T11:08:19.995+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 686PL7rt654
[2025-10-22T11:08:20.009+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: zo7i8VTpfNM
[2025-10-22T11:08:20.029+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: NfhuGUyWYfQ
[2025-10-22T11:08:20.053+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: wIpWCJKfRXs
[2025-10-22T11:08:20.062+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 9Xeepzg1B8I
[2025-10-22T11:08:20.072+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 50G0kIty7Cg
[2025-10-22T11:08:20.078+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 4l97aNza_Zc
[2025-10-22T11:08:20.084+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 3ih2bPKSWsQ
[2025-10-22T11:08:20.090+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: uA9Zcg3vHvo
[2025-10-22T11:08:20.100+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: _AbFXuGDRTs
[2025-10-22T11:08:20.107+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: MOGW3v3pJ5Y
[2025-10-22T11:08:20.113+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: XNtTO_339kU
[2025-10-22T11:08:20.119+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: rB9NynBZ4go
[2025-10-22T11:08:20.125+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: TDv56whosPQ
[2025-10-22T11:08:20.133+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: R_BmT1OJw98
[2025-10-22T11:08:20.140+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: vpRW4JhzfSE
[2025-10-22T11:08:20.152+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: qXW93Cois2s
[2025-10-22T11:08:20.168+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: r7f0L48dHpc
[2025-10-22T11:08:20.175+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Z4hVGCWH1Kc
[2025-10-22T11:08:20.184+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: zxuICI0kL3s
[2025-10-22T11:08:20.189+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: R1SFXJo-FlE
[2025-10-22T11:08:20.196+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: lQz5aqjZ3lQ
[2025-10-22T11:08:20.205+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: EiFcNbXBqeo
[2025-10-22T11:08:20.210+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: pzBi1nwDn8U
[2025-10-22T11:08:20.218+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: R7oW0LwS_e4
[2025-10-22T11:08:20.225+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: BfKI_TQnQvo
[2025-10-22T11:08:20.231+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: FWAdfuPpLOc
[2025-10-22T11:08:20.262+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: NjlP2_l1Wr0
[2025-10-22T11:08:20.294+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: gGcaGdHlt60
[2025-10-22T11:08:20.300+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: pe_ejTiIcSs
[2025-10-22T11:08:20.305+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: V6In4tmd-w8
[2025-10-22T11:08:20.311+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: ZGvn9ywXjpY
[2025-10-22T11:08:20.323+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: hTSaweR8qMI
[2025-10-22T11:08:20.336+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: KCRLP-zBacU
[2025-10-22T11:08:20.343+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: c2ukL_zjFCk
[2025-10-22T11:08:20.351+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: DZIASl9q90s
[2025-10-22T11:08:20.357+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 7qY-qalCI2Y
[2025-10-22T11:08:20.366+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: N0pwLtonPdg
[2025-10-22T11:08:20.373+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: -4GmbBoYQjE
[2025-10-22T11:08:20.381+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 0yPgljFcTR4
[2025-10-22T11:08:20.389+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: TN1wErFGTzM
[2025-10-22T11:08:20.400+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 3dxksf0CzS8
[2025-10-22T11:08:20.406+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: x7yv72s8h0o
[2025-10-22T11:08:20.410+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: uyiG6uw-6pA
[2025-10-22T11:08:20.418+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: M1STzb7k9L8
[2025-10-22T11:08:20.424+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 7K-yxGWYsnk
[2025-10-22T11:08:20.429+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Tbn4cYCaZCk
[2025-10-22T11:08:20.437+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: figrl0aOULs
[2025-10-22T11:08:20.442+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Uxc84UUrVHk
[2025-10-22T11:08:20.451+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: BzKaMelDzqo
[2025-10-22T11:08:20.457+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 4yx9ZJDfyKk
[2025-10-22T11:08:20.463+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: kPa_S6jN9ls
[2025-10-22T11:08:20.470+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 69g-YcbmgQA
[2025-10-22T11:08:20.477+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: aKq8bkY5eTU
[2025-10-22T11:08:20.487+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: TNtpUQbW4mg
[2025-10-22T11:08:20.494+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: TgCm8oDmxOk
[2025-10-22T11:08:20.500+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 954wJ3uHVAk
[2025-10-22T11:08:20.507+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: zajUgQLviwk
[2025-10-22T11:08:20.520+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: PXevNM0awlI
[2025-10-22T11:08:20.546+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: PuQ5UxKUY48
[2025-10-22T11:08:20.554+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: L5ihmu87xTE
[2025-10-22T11:08:20.567+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: nAiKLoCP-kU
[2025-10-22T11:08:20.573+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: NDsO1LT_0lw
[2025-10-22T11:08:20.578+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: sF5LYGgKbUA
[2025-10-22T11:08:20.586+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: MFpWEKN9c6Y
[2025-10-22T11:08:20.591+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: TRxMLLuWIhw
[2025-10-22T11:08:20.597+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: SM66GDRyIVY
[2025-10-22T11:08:20.605+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: EvqtfK_RaRg
[2025-10-22T11:08:20.609+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 3cWm9B_0_kI
[2025-10-22T11:08:20.617+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: qtWqHIx8Z-o
