[2025-10-23T08:16:38.869+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-23T08:16:39.070+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2025-10-23T08:16:06.700378+00:00 [queued]>
[2025-10-23T08:16:39.135+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2025-10-23T08:16:06.700378+00:00 [queued]>
[2025-10-23T08:16:39.143+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-23T08:16:39.227+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): core_table> on 2025-10-23 08:16:06.700378+00:00
[2025-10-23T08:16:39.258+0000] {standard_task_runner.py:63} INFO - Started process 5950 to run task
[2025-10-23T08:16:39.277+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'core_table', 'manual__2025-10-23T08:16:06.700378+00:00', '--job-id', '83', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmp1s0bp3jw']
[2025-10-23T08:16:39.294+0000] {standard_task_runner.py:91} INFO - Job 83: Subtask core_table
[2025-10-23T08:16:39.512+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.core_table manual__2025-10-23T08:16:06.700378+00:00 [running]> on host 5adcf1b12c4a
[2025-10-23T08:16:39.812+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='gidiboateng200@gmail.com' AIRFLOW_CTX_DAG_OWNER='dataengineers' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='core_table' AIRFLOW_CTX_EXECUTION_DATE='2025-10-23T08:16:06.700378+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-23T08:16:06.700378+00:00'
[2025-10-23T08:16:39.818+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-23T08:16:39.862+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2025-10-23T08:16:39.879+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2025-10-23T08:16:39.903+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2025-10-23T08:16:40.002+0000] {data_modification.py:78} INFO - Updated row with Video_ID: oBXSvS2QKxU
[2025-10-23T08:16:40.014+0000] {data_modification.py:78} INFO - Updated row with Video_ID: UTdcX1e0cMA
